account_code,account_name,city,terms
ACC-1042,Coastline Boutique,"Santa Cruz, CA",NET 60
ACC-1088,Northwind Mercantile,"Portland, OR",CC on file
ACC-1130,Juniper & Ash,"Asheville, NC",CC on file
ACC-1177,The Salt House,"Portsmouth, NH",NET 30
ACC-1204,Marigold Home & Dress,"Charleston, SC",NET 30
ACC-1259,Bellweather Shop,"Boulder, CO",CC on file
ACC-1301,Ferry Lane Trading Co.,"Bar Harbor, ME",NET 60
ACC-1348,Wildrose General,"Bozeman, MT",NET 30
ACC-1390,Tessa Grey Studio,"Austin, TX",CC on file
ACC-1425,Harbor & Vine,"Newport, RI",NET 30
