style_code,style_name,yarn_type,wholesale_price_usd,available_colors,available_sizes
800,HARBOR CABLE CREW,cotton,62.00,Natural|Night Navy|Rust Clay|Charcoal,S|M|L|XL
811,MARLOW RIB TURTLENECK,merino wool,78.00,Black|Oatmeal Heather|Moss|Night Navy,S|M|L|XL
823,SANDBAR OPEN CARDIGAN,cotton,84.00,Cream|Fog Grey|Sand,S|M|L|XL
835,KAYA STRIPED 3/4 SLEEVE V,cotton,66.00,Natural|Night Navy|Sea Glass,S|M|L|XL
847,TIDEPOOL BOATNECK,linen blend,58.00,Sea Glass|Cream|Dusty Rose|Sand,S|M|L|XL
862,DUNE WAFFLE HENLEY,cotton,64.00,Oatmeal Heather|Charcoal|Rust Clay,S|M|L|XL
875,ANCHOR SHAKER V-NECK,merino wool,72.00,Night Navy|Fog Grey|Black,S|M|L|XL
883,COVE LIGHTWEIGHT PULLOVER,cotton,59.00,Natural|Sea Glass|Dusty Rose,S|M|L|XL
893,REGATTA COLORBLOCK CREW,cotton,68.00,Night Navy|Cream|Rust Clay,S|M|L|XL
901,SALT FLAT MOCK NECK,merino wool,74.00,Charcoal|Oatmeal Heather|Moss,S|M|L|XL
914,BREAKWATER CHUNKY CARDI,wool blend,96.00,Natural|Charcoal|Night Navy,S|M|L|XL
926,LANTERN SLEEVE SCOOP,linen blend,61.00,Cream|Dusty Rose|Sea Glass,S|M|L|XL
938,PIER STRIPE LONG SLEEVE,cotton,63.00,Natural|Night Navy,S|M|L|XL
947,KELP TEXTURED TUNIC,cotton,71.00,Moss|Sand|Fog Grey,S|M|L|XL
955,DRIFT COTTON DUSTER,cotton,88.00,Natural|Charcoal|Sand,S|M|L|XL
962,SPINNAKER ZIP MOCK,wool blend,82.00,Black|Night Navy|Fog Grey,S|M|L|XL
978,SHOAL SHORT SLEEVE KNIT,linen blend,54.00,Sea Glass|Cream|Natural,S|M|L|XL
985,FATHOM CABLE TURTLENECK,merino wool,86.00,Oatmeal Heather|Black|Moss,S|M|L|XL
